Fips,County name,2023 Typology,Total ,Biden ,Trump
48241,"Jasper County, Texas",Evangelical Hubs,15611,2954,12542
48243,"Jeff Davis County, Texas",Graying America,1305,501,784
48245,"Jefferson County, Texas",African American South,94759,46073,47570
48247,"Jim Hogg County, Texas",Hispanic Centers,2036,1197,833
48249,"Jim Wells County, Texas",Hispanic Centers,13669,6119,7453
48251,"Johnson County, Texas",Exurbs,72020,16464,54628
48253,"Jones County, Texas",Graying America,6741,999,5660
48255,"Karnes County, Texas",Hispanic Centers,5252,1234,3968
48257,"Kaufman County, Texas",Exurbs,56718,18405,37624
48259,"Kendall County, Texas",Exurbs,26452,6020,20083
48261,"Kenedy County, Texas",Hispanic Centers,194,65,127
48263,"Kent County, Texas",Graying America,462,47,411
48265,"Kerr County, Texas",Graying America,27745,6524,20879
48267,"Kimble County, Texas",Graying America,2292,284,1987
48269,"King County, Texas",Graying America,159,8,151
48271,"Kinney County, Texas",Hispanic Centers,1603,446,1144
48273,"Kleberg County, Texas",Hispanic Centers,10944,5314,5504
48275,"Knox County, Texas",Aging Farmlands,1456,265,1180
48277,"Lamar County, Texas",Working Class Country,21442,4458,16760
48279,"Lamb County, Texas",Hispanic Centers,4410,840,3521
48281,"Lampasas County, Texas",Working Class Country,10399,2144,8086
48283,"La Salle County, Texas",Hispanic Centers,2406,1052,1335
48285,"Lavaca County, Texas",Rural Middle America,10197,1333,8804
48287,"Lee County, Texas",Working Class Country,8087,1750,6255
48289,"Leon County, Texas",Working Class Country,8674,1072,7523
48291,"Liberty County, Texas",Hispanic Centers,29334,5785,23302
48293,"Limestone County, Texas",Graying America,9095,2213,6789
48295,"Lipscomb County, Texas",Hispanic Centers,1353,131,1205
48297,"Live Oak County, Texas",Hispanic Centers,5054,819,4199
48299,"Llano County, Texas",Graying America,12660,2465,10079
48301,"Loving County, Texas",Aging Farmlands,66,4,60
48303,"Lubbock County, Texas",College Towns,120817,40017,78861
48305,"Lynn County, Texas",Hispanic Centers,2293,428,1853
48307,"McCulloch County, Texas",Hispanic Centers,3436,490,2904
48309,"McLennan County, Texas",College Towns,97872,36688,59543
48311,"McMullen County, Texas",Hispanic Centers,516,53,460
48313,"Madison County, Texas",Working Class Country,5298,1088,4169
48315,"Marion County, Texas",Working Class Country,4864,1339,3470
